"date","close","volume","open","high","low"
"2018/06/07","55.8800","27571480.0000","56.9200","57.0000","55.6200"
"2018/06/06","57.0300","22950320.0000","56.5300","57.0600","56.0800"
"2018/06/05","56.5300","21650300.0000","56.9000","57.1200","56.2150"
"2018/06/04","56.8300","22460260.0000","57.0100","57.5995","56.7750"
"2018/06/01","57.0800","31153130.0000","55.8400","57.1000","55.8000"
"2018/05/31","55.2000","30934950.0000","55.6700","55.8600","55.0600"
"2018/05/30","55.6800","24556310.0000","55.8900","56.2000","55.6150"
"2018/05/29","55.3200","24176370.0000","55.1200","55.8100","54.8100"
"2018/05/25","55.4400","18508060.0000","54.8000","55.5000","54.5400"
"2018/05/24","54.7500","19472190.0000","55.1800","55.3000","54.1300"
"2018/05/23","55.2100","20512760.0000","54.0000","55.2300","53.8400"
"2018/05/22","54.4500","19007430.0000","54.7300","55.0500","54.0500"
"2018/05/21","54.3200","25157290.0000","54.3600","55.2200","53.8600"
"2018/05/18","53.5000","23659030.0000","54.5300","54.5400","53.4700"
"2018/05/17","54.8100","16868500.0000","54.5500","55.4400","54.4200"
"2018/05/16","54.6400","16093190.0000","54.1700","54.7000","53.9550"
"2018/05/15","53.9200","21698640.0000","54.5800","54.7500","53.5600"
"2018/05/14","54.9000","21831130.0000","54.7700","55.2401","54.7400"
"2018/05/11","54.6700","15396720.0000","54.6200","55.1900","54.4300"
"2018/05/10","54.9800","18696150.0000","54.5500","55.0000","54.1000"
"2018/05/09","54.3400","19816890.0000","53.7600","54.3700","53.1900"
"2018/05/08","53.6300","20657760.0000","53.2950","53.6300","52.8000"
"2018/05/07","53.3300","20304880.0000","52.8600","53.5800","52.8300"
"2018/05/04","52.7800","25636750.0000","51.6200","52.8400","51.0000"
"2018/05/03","52.2800","28477800.0000","51.8900","52.5600","51.2100"
"2018/05/02","52.3100","25754240.0000","53.0900","53.2000","52.1500"
"2018/05/01","53.3300","27564850.0000","51.6400","53.4200","51.4400"
"2018/04/30","51.6200","36384090.0000","52.5600","53.3700","51.2100"
"2018/04/27","52.7300","69713580.0000","55.4400","55.7900","52.2300"
"2018/04/26","53.0500","38373340.0000","52.2600","53.2700","52.0700"
"2018/04/25","51.3800","25592280.0000","51.8600","52.1000","50.6000"
"2018/04/24","51.4500","42468290.0000","51.8700","53.6400","51.1400"
"2018/04/23","51.1000","21656930.0000","51.6890","51.8900","50.8500"
"2018/04/20","51.5300","26851880.0000","52.1700","52.2800","50.8800"
"2018/04/19","52.2200","25369040.0000","52.9500","52.9600","51.6100"
"2018/04/18","53.6100","22155870.0000","53.5200","54.3550","53.3400"
"2018/04/17","53.5400","21189610.0000","52.9100","53.7000","52.8900"
"2018/04/16","52.4000","18838800.0000","52.2900","52.5300","51.7900"
"2018/04/13","51.8600","20864040.0000","53.0600","53.2100","51.6000"
"2018/04/12","52.7200","29750460.0000","51.4900","53.2689","51.4500"
"2018/04/11","51.1000","17560440.0000","50.9900","51.7300","50.8200"
"2018/04/10","51.2700","26332790.0000","51.1200","51.4900","50.3400"
"2018/04/09","49.5500","31363780.0000","49.1600","51.1100","49.1600"
"2018/04/06","48.7900","28208900.0000","49.7900","50.4000","48.5000"
"2018/04/05","50.3800","24757310.0000","50.0100","50.7199","49.9700"
"2018/04/04","49.9900","30274280.0000","48.1000","50.1600","48.0100"
"2018/04/03","49.7500","39415690.0000","49.0000","49.9600","48.4100"
"2018/04/02","48.9200","67058020.0000","51.6900","52.0400","47.2900"
"2018/03/29","52.0800","45121220.0000","49.9800","52.0800","49.8700"
"2018/03/28","49.6000","37959720.0000","50.5000","50.7000","49.0100"
"2018/03/27","51.1900","38079020.0000","53.0100","53.2500","50.7800"
"2018/03/26","52.4800","38852730.0000","50.7400","52.4900","50.3200"
"2018/03/23","49.3600","37372270.0000","50.5900","50.9900","49.3600"
"2018/03/22","50.8300","30703590.0000","50.7400","51.9600","50.6000"
"2018/03/21","51.5600","23233380.0000","51.5500","52.1700","51.1700"
"2018/03/20","51.5500","22096090.0000","50.8800","51.8100","50.8500"
"2018/03/19","50.8300","28838370.0000","50.7400","51.2300","49.9300"
"2018/03/16","51.1700","41381260.0000","51.1700","51.7000","50.9900"
"2018/03/15","50.8800","24774230.0000","52.2300","52.3000","50.8800"
"2018/03/14","51.8600","24873370.0000","52.0600","52.1750","51.3100"
"2018/03/13","51.7800","45427940.0000","52.5200","53.7800","51.3900"
"2018/03/12","51.5200","31653220.0000","51.8600","51.9500","50.5000"
"2018/03/09","52.1900","31947720.0000","51.2700","52.3000","51.0000"
"2018/03/08","50.7400","30133810.0000","51.7900","52.0800","50.4700"
"2018/03/07","51.3200","30649110.0000","50.1800","51.4850","50.1000"
